county,state,fips,2015,2016,2017,2018
Nicholas,west virginia,54067,611163,568981,562725,590546
Union,kentucky,21225,667814,626698,620104,593494
Jackson,iowa,19097,600793,605127,559811,593898
Dickinson,kansas,20041,604215,609112,611170,593932
Otero,colorado,8089,597938,580665,579125,594219
Baker,florida,12003,547809,562229,575846,595832
Morehouse,louisiana,22067,633534,683754,622742,597005
Howard,arkansas,5061,580517,569038,593606,597565
McNairy,tennessee,47109,596735,580467,592409,597781
Tattnall,georgia,13267,587283,580275,596397,598451
Fayette,illinois,17051,537250,556309,571792,599015
Douglas,missouri,29067,544384,572490,569165,599286
Fillmore,minnesota,27045,612980,695039,618366,600821
Logan,arkansas,5083,628938,605629,614896,600829
Buchanan,iowa,19019,611563,591005,611841,601478
Fannin,georgia,13111,516644,543353,573522,601484
Caroline,virginia,51033,564486,588924,585665,601787
La Paz,arizona,4012,554228,582158,582552,602409
Bosque,texas,48035,606770,618864,600680,603479
Humphreys,tennessee,47085,704762,673927,671970,603793
Goshen,wyoming,56015,577899,609948,592832,604466
Sunflower,mississippi,28133,577367,582274,586619,604682
Orange,indiana,18117,561438,570377,600337,604918
Simpson,mississippi,28127,590249,585121,598431,604922
Pend Oreille,washington,53051,550221,581329,582182,605133
Coahoma,mississippi,28027,637306,626325,612400,606094
Wakulla,florida,12129,581765,566868,594611,606163
Aransas,texas,48007,662999,634775,606525,607950
Clark,illinois,17023,526704,540468,557592,608104
Murray,minnesota,27101,699109,674145,591239,609134
Noble,oklahoma,40103,636275,555634,557514,611248
Scott,kansas,20171,532689,677112,687656,613415
Martin,north carolina,37117,627283,620081,618511,614404
Cibola,new mexico,35006,647182,642636,623455,614425
Logan,oklahoma,40083,594197,590636,607349,614523
Ouachita,arkansas,5103,622256,610952,605002,614610
Greene,georgia,13133,576061,575522,600644,614673
Copiah,mississippi,28029,624116,618357,639835,615130
Borden,texas,48033,414473,445798,476078,615821
Sawyer,wisconsin,55113,576382,582465,592444,616462
Clay,south dakota,46027,576073,590863,590965,616494
Monroe,alabama,1099,611360,610770,610310,618262
Ste. Genevieve,missouri,29186,583144,567514,583129,619144
Mackinac,michigan,26097,584437,616120,613132,620632
Yellow Medicine,minnesota,27173,718010,702296,583676,620648
Page,virginia,51139,608378,613459,607241,620983
Stillwater,montana,30095,608565,539169,592867,621154
Greene,indiana,18055,579959,566956,568536,623538
Pike,illinois,17149,545855,629663,613389,623777
Emanuel,georgia,13107,590767,593947,642729,624021
Union,louisiana,22111,632819,580206,588380,624213
Curry,oregon,41015,592246,611974,618895,624680
McDuffie,georgia,13189,586925,596121,611282,624689
Bethel Census Area,alaska,2050,611875,606090,608355,625190
Barnwell,south carolina,45011,553660,596836,589145,626073
Fulton,indiana,18049,598362,606147,642335,626150
Preston,west virginia,54077,636818,625005,626661,626549
Allen,louisiana,22003,591149,615584,629176,630538
Scott,indiana,18143,566398,588547,607035,630586
San Miguel,colorado,8113,612657,607530,607756,630972
Currituck,north carolina,37053,595990,573065,599949,632304
Milam,texas,48331,973728,997226,940908,632583
Custer,nebraska,31041,823716,907201,714730,632937
Washington,indiana,18175,615054,567460,590052,633102
Upson,georgia,13293,618389,606611,617870,634107
Union,georgia,13291,602821,598408,616544,636700
Southeast Fairbanks Census Area,alaska,2240,558749,594212,640754,637943
Cass,illinois,17017,622333,612636,622070,638399
Llano,texas,48299,625570,646414,644286,638468
Grundy,iowa,19075,603480,571645,700598,638762
Clay,indiana,18021,597363,599020,618062,640668
Sequoyah,oklahoma,40135,651604,646184,638407,640722
Cass,iowa,19029,666664,621439,633006,640979
Roosevelt,new mexico,35041,565725,638336,667034,643474
Floyd,iowa,19067,721511,706885,657302,644007
Leelanau,michigan,26089,602364,648970,627146,644548
Stevens,minnesota,27149,613330,618864,601399,644872
Tipton,indiana,18159,492970,522325,562155,646608
Wayne,illinois,17191,663586,649001,604981,648342
White,tennessee,47185,606801,632154,641565,650494
White,georgia,13311,608647,613669,633395,651770
Mitchell,iowa,19131,642065,623222,604233,652501
Charles Mix,south dakota,46023,615518,603356,605982,652724
Green Lake,wisconsin,55047,665084,607216,618627,656023
Wabasha,minnesota,27157,663501,609257,657981,656788
Yazoo,mississippi,28163,655691,644416,619172,656888
Marengo,alabama,1091,673931,678430,650660,657507
Lincoln,oklahoma,40081,686056,652778,643212,658277
Van Buren,arkansas,5141,942137,826520,756095,658285
Pine,minnesota,27115,657985,682864,699122,658912
Barnes,north dakota,38003,563345,676389,636932,659641
Bradford,florida,12007,599779,608141,637196,659865
Carroll,indiana,18015,567678,618213,618854,661601
Jennings,indiana,18079,640712,641307,646249,662272
Rowan,kentucky,21205,646782,658578,655209,662311
Grayson,kentucky,21085,642063,642590,668725,662447
Boone,west virginia,54005,863515,676301,660137,663228
Fulton,pennsylvania,42057,558558,566736,604764,663976
Lafayette,wisconsin,55065,657093,675702,652462,664321
Lewis,west virginia,54041,686562,621233,608458,664888
Webster,missouri,29225,618822,604945,614511,665452
Tyler,west virginia,54095,512989,592086,713024,666299
San Juan,washington,53055,601531,621278,642382,667122
Winston,alabama,1133,629762,623036,650751,667455
Bell,kentucky,21013,692212,668744,672496,668283
Hubbard,minnesota,27057,604791,619850,644871,670585
Lauderdale,tennessee,47097,632570,641315,652706,671103
Jackson,minnesota,27063,690686,609992,665442,671346
Alamosa,colorado,8003,662337,659375,654314,671553
Morgan,georgia,13211,608663,611589,649071,672292
Upshur,west virginia,54097,713801,669808,656900,672336
Richland,wisconsin,55103,677355,688913,666299,672473
Wayne,mississippi,28153,636232,630300,631428,672801
Grady,georgia,13131,604435,585555,656456,672965
Yuma,colorado,8125,817648,861732,781972,673264
Union,south carolina,45087,599087,618081,631721,673529
Langlade,wisconsin,55067,693013,671690,699023,673616
Osceola,michigan,26133,642306,629201,643961,673677
Powhatan,virginia,51145,648092,668612,670391,675129
Jack,texas,48237,753797,624966,637510,675495
Colfax,nebraska,31037,586485,603023,568457,675670
Jefferson,iowa,19101,598408,612099,606822,677208
Ritchie,west virginia,54085,564225,646683,701539,678191
Lake,minnesota,27075,543366,573100,633955,678920
Franklin,iowa,19069,685354,677570,702524,679214
Ashland,wisconsin,55003,649921,669180,682143,679351
Asotin,washington,53003,603609,614641,650999,682975
Hancock,illinois,17067,514828,593121,641336,683222
Seward,nebraska,31159,676818,651577,701790,683617
Holt,nebraska,31089,653985,597779,639897,684504
Smith,tennessee,47159,619101,581835,602601,685356
Henry,missouri,29083,721712,653315,651087,685543
Morris,texas,48343,744205,639957,638229,686443
Marion,mississippi,28091,635093,625897,683983,686845
Dodge,minnesota,27039,590532,622555,613389,687774
Saint Francis,arkansas,5123,689420,670682,693463,687857
Carroll,tennessee,47017,666139,680924,678784,688843
Cherokee,kansas,20021,519045,592225,632446,688966
Chickasaw,iowa,19037,751812,773455,664332,690161
Massac,illinois,17127,741026,694090,685117,690326
Jefferson,oregon,41031,607581,625269,671395,690490
Pike,indiana,18125,758576,774454,814763,690529
Polk,missouri,29167,681166,653746,663190,691552
Chaffee,colorado,8015,606033,634208,662174,692114
Moultrie,illinois,17139,581590,571325,623786,692823
Crawford,wisconsin,55023,661146,672550,668927,694502
Perry,indiana,18123,693092,708389,696896,696505
Lumpkin,georgia,13187,626006,634151,675155,696558
Northwest Arctic Borough,alaska,2188,577594,591812,680814,696765
Crook,oregon,41013,604309,634792,649724,697812
Pacific,washington,53049,664850,672048,680815,698095
Cherokee,north carolina,37039,677129,668725,674489,698213
Johnson,arkansas,5071,692708,688151,703176,698286
Fayette,iowa,19065,687063,699973,731090,698596
Manistee,michigan,26101,656710,685252,685561,698720
Mingo,west virginia,54059,676070,600432,688449,698997
Menominee,michigan,26109,663893,645666,685949,699327
Meade,south dakota,46093,674491,679726,712295,700392
Cottonwood,minnesota,27033,628822,556179,648372,701471
Russell,virginia,51167,706809,687662,679630,702183
Nemaha,nebraska,31127,644616,779030,814223,702909
Choctaw,mississippi,28019,598478,648139,652604,702981
Southampton + Franklin,virginia,51175,699225,699507,731736,703487
Jackson,texas,48239,601370,578885,637979,703860
White Pine,nevada,32033,591141,629704,724637,705080
Rock,minnesota,27133,679242,699246,705481,708120
Madison,texas,48313,1072976,871390,792698,708151
Pointe Coupee,louisiana,22077,784561,754677,763454,708965
Saunders,nebraska,31155,664257,679983,700616,709898
Marion,kentucky,21155,664483,673604,685475,710662
Mitchell,georgia,13205,746460,714922,709186,710687
Lake,montana,30047,688217,731659,695636,710824
DeKalb,tennessee,47041,652684,657850,683111,711225
Las Animas,colorado,8071,718839,736109,723964,711460
Seminole,oklahoma,40133,705995,699012,677926,711545
Perry,illinois,17145,638393,647016,651924,712065
Haralson,georgia,13143,670510,680955,692227,712231
Crisp,georgia,13081,680990,682528,707876,712897
Iosco,michigan,26069,648137,662112,680887,713289
Prince Edward,virginia,51147,677145,692424,698941,714007
Grand,colorado,8049,653776,661941,685071,714703
Kodiak Island Borough,alaska,2150,767476,713809,711871,715043
Sumner,kansas,20191,657368,763770,754205,715695
Perry,ohio,39127,634815,635718,684221,716005
Wayne,georgia,13305,696693,680210,702242,716988
Woods,oklahoma,40151,920220,909241,742646,717358
Oceana,michigan,26127,671701,685916,687675,718437
Fannin,texas,48147,624023,652635,683053,719113
Marlboro,south carolina,45069,694453,688893,703313,719813
Claiborne,tennessee,47025,702166,700930,706544,720230
Ashe,north carolina,37009,696618,708157,713269,723421
Greenup,kentucky,21089,730103,706302,704707,724722
Marion,tennessee,47115,675834,697086,717654,727781
Williamsburg,south carolina,45089,698687,705004,718866,729534
Haywood,tennessee,47075,693919,737042,716530,730120
Nodaway,missouri,29147,729017,677649,694059,730282
Renville,minnesota,27129,849770,798747,791295,730537
Randolph,indiana,18135,758668,712044,714968,731186
Calhoun,south carolina,45017,648096,684549,720265,732086
Clark,arkansas,5019,718661,723399,730698,734017
Dunklin,missouri,29069,743443,729480,691183,735316
Lipscomb,texas,48295,850093,761476,816938,735518
Minidoka,idaho,16067,733016,731849,689238,736107
Crawford,iowa,19047,719279,694175,709390,736402
Rio Blanco,colorado,8103,816272,762354,754490,736488
Butler,iowa,19023,651233,764111,792589,739157
Hill,montana,30041,700541,725228,693056,740055
Benton,iowa,19011,656477,660277,680997,740852
Henderson,tennessee,47077,718663,710518,716971,742392
Anson,north carolina,37007,727526,704947,717191,742405
Pipestone,minnesota,27117,669070,703302,740914,744267
Bienville,louisiana,22013,614943,613315,705618,744493
Potter,pennsylvania,42105,632264,653646,698056,744771
Bourbon,kentucky,21017,744961,732345,731288,744850
Mineral,west virginia,54057,713988,713211,709551,745387
Lafayette,missouri,29107,739446,750463,782447,746666
Warren,illinois,17187,639761,689555,718109,750948
McLean,north dakota,38055,693917,733122,670149,753102
Wilbarger,texas,48487,674909,697392,676360,753154
Orange,vermont,50017,734986,741965,732653,754084
Luna,new mexico,35029,762490,769141,742469,754364
Hancock,iowa,19081,798787,664429,752094,755413
Lamb,texas,48279,906970,771216,797444,755461
Juniata,pennsylvania,42067,696557,653676,730790,755938
Vermillion,indiana,18165,683584,760163,740246,755958
Miami,kansas,20121,693229,726565,737315,756381
Edgar,illinois,17045,698730,690176,744879,756615
Dillon,south carolina,45033,689122,726695,725760,760294
Grenada,mississippi,28043,741492,754356,754012,763469
Fluvanna,virginia,51065,731891,727095,771955,766325
Cass,texas,48067,752698,740258,739240,766769
Mille Lacs,minnesota,27095,743233,758812,758981,766914
Adair,missouri,29001,738965,723612,728997,767444
Millard,utah,49027,851667,799234,831588,773810
Gray,kansas,20069,861114,926068,827623,774123
Labette,kansas,20099,753141,751234,758771,777207
York,nebraska,31185,765658,737222,785440,778417
Payette,idaho,16075,837885,844072,833896,780280
Hertford,north carolina,37091,772232,783188,788885,780391
Rosebud,montana,30087,835851,832151,848997,781232
Delaware,oklahoma,40041,806705,782350,804068,781897
Randolph,west virginia,54083,775694,768431,751835,782930
Amherst,virginia,51009,813986,799299,776604,782954
Clarke,alabama,1025,806072,793755,771341,784519
Brown,ohio,39015,780418,769987,787000,785545
Delta,colorado,8029,791826,756267,750050,785652
Barbour,alabama,1005,756590,742810,745625,787425
Carroll,arkansas,5015,756728,723423,784947,788311
Brunswick,virginia,51025,331026,655539,780106,788340
Ford,illinois,17053,712640,786186,751179,788611
Kewaunee,wisconsin,55061,751308,799292,829693,789369
Sabine,louisiana,22085,711516,663004,710769,789765
Lincoln,wyoming,56023,753959,781681,781089,793275
Juneau,wisconsin,55057,772263,767342,763776,793332
Wasatch,utah,49051,644393,698720,768681,794527
Terry,texas,48445,757854,806173,812966,796030
Taylor,kentucky,21217,786395,802636,824931,796470
Henry,iowa,19087,750872,744410,751270,798306
Mason,west virginia,54053,855505,863847,812271,798847
Washington,alabama,1129,727863,778980,775076,799290
Ketchikan Gateway Borough,alaska,2130,818853,797981,791585,800724
Iowa,iowa,19095,775203,738351,771035,802948
Meeker,minnesota,27093,797922,755193,785080,803213
Okmulgee,oklahoma,40111,819519,792898,786503,803796
Marion,alabama,1093,779032,759279,773143,804250
Stewart,tennessee,47161,1086774,959056,759200,805094
Campbell,tennessee,47013,763622,775059,786030,806050
West Feliciana,louisiana,22125,778722,778961,814343,806915
Hamilton,iowa,19079,765608,655830,680309,807344
Bryan,georgia,13029,694751,724375,765385,807644
Uvalde,texas,48463,805353,811951,799536,807982
Franklin,kansas,20059,803174,805020,816273,809403
Shelby,illinois,17173,681757,684249,705315,810282
Mariposa,california,6043,689194,751702,796797,811272
Dawson,texas,48115,739721,737356,843417,811433
Monroe,mississippi,28095,800612,793194,801048,813248
Dawson,georgia,13085,702783,737584,783804,814582
Taylor,wisconsin,55119,834181,840499,812308,816893
JoDaviess,illinois,17085,852024,862970,812410,819232
Coffey,kansas,20031,783820,860876,854751,819586
Zapata,texas,48505,986772,809255,883293,820224
Todd,minnesota,27153,776958,747664,823368,820431
Lawrence,missouri,29109,834108,760141,782540,821750
Decatur,georgia,13087,775385,783143,834766,824276
Miami,indiana,18103,775569,822217,823086,824484
Hancock,kentucky,21091,914973,942511,833590,824556
Redwood,minnesota,27127,879110,798680,760935,825495
Waseca,minnesota,27161,925631,796919,827272,825656
Vilas,wisconsin,55125,749074,784319,814724,827015
Gilmer,georgia,13123,769658,762776,799896,827846
DeSoto,florida,12027,828679,832295,897169,828489
Columbia,arkansas,5027,883285,843077,831485,828515
Colorado,texas,48089,846104,805364,856080,829575
Caddo,oklahoma,40015,808449,754752,783384,830123
Kent,maryland,24029,791154,797360,817395,831822
Clayton,iowa,19043,790524,811869,840723,832243
Yates,new york,36123,795064,834030,831196,834674
Adams,ohio,39001,1369333,1528527,1285726,835269
Chilton,alabama,1021,799902,798726,806179,837887
Gloucester,virginia,51073,793874,802752,824388,839170
Bee,texas,48025,915620,859747,840520,839201
Osage,oklahoma,40113,953799,951807,907140,839531
Alexander,north carolina,37003,823327,812487,832551,842421
Greensville + Emporia,virginia,51081,766374,744165,786715,844349
Upshur,texas,48459,865472,811844,821631,845183
Delaware,iowa,19055,835932,781261,820910,845252
Pontotoc,mississippi,28115,817270,831728,830878,845698
Stephens,georgia,13257,838611,824162,836342,845831
Sanpete,utah,49039,747410,777113,827158,847820
Avoyelles,louisiana,22009,828797,833993,854404,848022
Ohio,kentucky,21183,883878,826263,842955,848711
Blount,alabama,1009,824934,783480,813934,849114
Emery,utah,49015,855167,883592,897805,849317
Saline,illinois,17165,982085,871157,889487,849787
Dickinson,iowa,19059,881676,852238,874636,850226
Simpson,kentucky,21213,808846,847797,856593,850415
Sargent,north dakota,38081,825761,792298,790211,854986
Gillespie,texas,48171,814218,832301,829962,855051
Taylor,florida,12123,897393,841275,859687,856461
Teller,colorado,8119,832946,821374,880866,858144
Brooke,west virginia,54009,864081,804058,859569,860118
Hoke,north carolina,37093,823777,847554,878796,862833
Hot Spring,arkansas,5059,823538,893297,873769,863609
Perry,missouri,29157,848190,897144,839132,864963
Young,texas,48503,839658,839662,860714,866609
Clare,michigan,26035,740488,789999,824359,868897
Evangeline,louisiana,22039,879623,876533,870261,870132
Montgomery,north carolina,37123,844812,849711,851901,870571
Willacy,texas,48489,709067,783732,892603,870911
Tunica,mississippi,28143,888937,978186,892574,872019
Mahaska,iowa,19123,770666,778726,784005,872648
Medina,texas,48325,828986,818153,852698,872982
Saline,nebraska,31151,784766,804835,816062,874940
Taos,new mexico,35055,867450,872461,871736,875296
Cherokee,iowa,19035,873033,900002,851770,876700
Hempstead,arkansas,5057,817269,818374,883781,877218
Hart,georgia,13147,805711,768988,801163,880377
Perry,pennsylvania,42099,847777,817963,880431,880847
McCurtain,oklahoma,40089,901853,891871,896124,881333
Cuming,nebraska,31039,1087326,1193021,972675,881546
Vernon,missouri,29217,931553,915484,943482,882387
Sullivan,indiana,18153,955877,972644,911183,882530
Adams,mississippi,28001,914893,899234,941445,882622
Houston,texas,48225,876884,846398,857637,883298
Hardin,tennessee,47071,796585,824101,841888,885035
Lincoln,tennessee,47103,833801,864219,866822,885103
Franklin,alabama,1059,829741,802754,849068,886031
Miller,missouri,29131,934045,916961,876577,888047
Cass,nebraska,31025,715961,745086,837287,888860
Ottawa,oklahoma,40115,892777,887450,876841,889795
Cleburne,arkansas,5023,1099560,1009797,982503,890222
Cass,minnesota,27021,812335,830036,855671,891066
Harrison,indiana,18061,859861,862876,882551,893313
Caldwell,texas,48055,836699,811776,843716,893669
Montgomery,kentucky,21173,903218,891325,891219,894854
Phelps,nebraska,31137,945786,1048731,945737,895982
Jackson,ohio,39079,925429,890195,891526,899289
Franklin,georgia,13119,820013,838987,870627,899867
Carson,texas,48065,769303,837858,840262,900276
Sevier,utah,49041,847557,857597,904793,905558
Lander,nevada,32015,723949,837997,971485,905873
Hartley,texas,48205,959518,776267,901759,906563
Uinta,wyoming,56041,981530,938876,904458,906587
Jackson,wisconsin,55053,841067,755038,794216,906727
Jasper,south carolina,45053,853093,869976,915884,906749
Ashley,arkansas,5003,893843,910844,896476,907876
Le Sueur,minnesota,27079,848549,890598,941682,909516
Toombs,georgia,13279,914977,891694,895077,909766
Colleton,south carolina,45029,852441,878693,893693,910269
Jefferson Davis,louisiana,8059,908047,922418,916309,913264
Fulton,illinois,17057,923587,869606,877634,917536
Somerset,maryland,24039,900209,886453,909121,918716
Alleghany + Covington,virginia,51005,918853,920347,889752,920780
Lee,texas,48287,964888,901371,921869,921090
Beauregard,louisiana,22011,916684,908107,902247,921931
Fayette,tennessee,47047,928658,943298,933084,922002
Hill,texas,48217,865074,890421,907781,922510
Monroe,illinois,17133,896581,865997,882959,923297
Mercer,kentucky,21167,912096,965305,899479,923901
Schoharie,new york,36095,835761,866539,903524,925013
Wayne,west virginia,54099,980217,926851,912964,925211
Adams,washington,53001,927096,880151,925453,925815
Lewis,new york,36049,906174,926827,937068,926216
Oconto,wisconsin,55083,946675,1056035,1014070,926345
Jefferson,nebraska,31095,865723,922772,884009,929207
Pickens,georgia,13227,836160,870918,898120,929381
Otsego,michigan,26137,829996,873003,894499,929428
Orange,virginia,51137,870074,901967,904708,930221
Neshoba,mississippi,28099,926235,927426,940185,932420
Vernon,wisconsin,55123,954011,917823,945748,932889
Carroll + Galax,virginia,51033,935528,930255,941368,936043
Audrain,missouri,29007,944932,974056,907237,936372
White,indiana,18181,880634,921093,899339,937398
Peach,georgia,13225,845561,901372,903147,938621
Del Norte,california,6015,869352,902897,905649,939846
Saline,missouri,29195,991086,1020255,1003411,943201
Hansford,texas,48195,1022789,855907,879769,945214
Zavala,texas,48507,1124822,1048958,991794,945577
Kingfisher,oklahoma,40073,724748,758330,789892,947739
Wetzel,west virginia,54103,1019613,1017138,1008718,948666
Union,oregon,41061,847303,855453,905164,949249
Tillamook,oregon,41057,874374,918841,941141,950167
Richland,north dakota,38077,759077,907650,925152,950729
Beadle,south dakota,46005,896205,875996,862555,951722
Union,mississippi,28145,866453,901293,937395,951834
Hardin,ohio,39065,839240,846835,824076,952308
Nolan,texas,48353,944540,947748,954905,954245
Cheatham,tennessee,47021,869691,895512,933829,955278
McClain,oklahoma,40087,918958,904202,913203,956594
Jefferson,washington,53031,859913,876162,930558,957283
Mercer,north dakota,38057,1064167,1158086,1058324,957979
Jay,indiana,18075,932733,848857,885210,958240
Wright,iowa,19197,980932,889787,909568,958690
Warren,missouri,29219,926929,963510,925412,958900
Marshall,tennessee,47117,812471,824325,923298,959596
Butte,idaho,16023,899969,926251,941600,959859
Perry,kentucky,21193,1105110,966630,979952,960216
Bolivar,mississippi,28011,941793,958759,941679,961922
Richland,illinois,17159,812538,898151,925273,962210
Conway,arkansas,5029,1154642,1085068,1025383,962556
Big Horn,montana,30003,892234,783886,903544,962622
Transylvania,north carolina,37175,885429,926855,931944,963170
Clay,iowa,19041,1003498,882288,922509,964775
Boone,iowa,19015,918138,910775,885440,967923
Orleans,vermont,50019,937898,907767,950368,968077
Ravalli,montana,30081,891419,905592,945452,972076
Mason,kentucky,21161,907580,991158,935037,972077
Lawrence,south dakota,46081,931015,937321,960158,973243
Dunn,north dakota,38025,1137588,849245,943825,973681
Pearl River,mississippi,28109,917525,914116,931600,973835
Scotland,north carolina,37165,949731,943861,959215,982653
Franklin,androscoggin,23007,982117,972847,959824,985027
Richland,montana,30083,1170610,1015160,946740,985176
Jasper,texas,48241,1005634,956225,970666,985232
Lincoln,mississippi,28085,947187,955083,973819,986481
Moffat,colorado,8081,1042946,1045120,1026134,987890
Stokes,north carolina,37169,1163925,1085314,1043722,988135
Winneshiek,iowa,19191,1059596,1063400,953582,988435
Giles,tennessee,47055,899998,956977,969959,988833
Waldo,androscoggin,23027,947534,960808,987905,994584
Fayette,west virginia,54019,999066,958829,986998,996404
Montague,texas,48337,1237808,1078040,1100417,998712
Carbon,utah,49007,1013939,963920,976785,1000015
Woodford,kentucky,21239,966450,979105,992683,1000732
Wyandot,ohio,39175,881829,888834,906967,1001495
Douglas,illinois,17041,914455,918981,950619,1002215
Hardin,iowa,19083,907548,940470,1006092,1002720
Palo Pinto,texas,48363,961620,913894,962405,1004793
Macon,north carolina,37113,972082,964272,978753,1009238
Mono,california,6051,907585,949362,1046210,1009386
Leon,texas,48289,1298131,1102364,989740,1012329
Sumter,georgia,13261,995083,982836,1003719,1012804
Washington,illinois,17189,742961,833583,898282,1013500
Alpena,michigan,26007,984917,973702,1002334,1013753
Roberts,texas,48393,1569206,1301255,1224990,1015627
Franklin,tennessee,47051,970197,983570,987470,1016719
Cocke,tennessee,47029,960043,945429,969122,1016848
Buchanan,virginia,51027,1000620,916210,1052232,1018337
Wagoner,oklahoma,40145,1050012,1041296,983801,1018993
San Augustine,texas,48405,690353,764715,899142,1019175
Carter,tennessee,47019,944574,962321,989393,1019574
Cass,michigan,26027,932658,993586,1001660,1021138
Mason,michigan,26105,967612,956916,983066,1021720
Shelby,iowa,19165,1047408,1021387,1019531,1023116
Caledonia,vermont,50005,999109,1023885,1013422,1024166
Martin,minnesota,27091,1084573,1014414,1155886,1024825
Highland,ohio,39071,987667,980858,1027096,1025946
Washington,androscoggin,23029,1072106,1066832,1043460,1026010
Putnam,indiana,18133,934369,994002,1015373,1026472
Martin,indiana,18101,924109,933239,987031,1027957
Panola,mississippi,28107,1035080,1053862,1023231,1028548
Davison,south dakota,46035,993150,983847,993427,1028594
Arkansas,arkansas,5001,1004316,1064308,1011497,1028895
Gunnison,colorado,8051,923743,943497,1012690,1028922
Lincoln,androscoggin,23015,973621,991563,995145,1030391
Tipton,tennessee,47167,993205,1014528,1009855,1030904
Lincoln,missouri,29113,975250,1032803,1039732,1031761
Obion,tennessee,47131,1029732,1019923,1036501,1034308
Churchill,nevada,32001,922253,951966,961710,1038391
Laclede,missouri,29105,964543,945363,1003521,1038697
Bremer,iowa,19017,1099724,1092552,1053747,1039846
Warren,iowa,19181,975289,995315,1017135,1042882
Greenbrier,west virginia,54025,1058789,1000850,1021714,1043661
Chester,south carolina,45023,974521,984951,982849,1044555
Wilson,texas,48493,978867,931470,973167,1046254
Hemphill,texas,48211,1515128,1288646,1202424,1047164
Lincoln,wisconsin,55069,1014957,1054773,1031139,1051336
Plumas,california,6063,937022,1012209,1109769,1052152
Yadkin,north carolina,37197,983467,1024254,1078335,1053658
Marion,missouri,29127,1027093,1047562,1018208,1053998
Iroquois,illinois,17075,1033837,1185885,1076897,1056396
Floyd,kentucky,21071,1057043,1043654,1078687,1056986
Lawrence,tennessee,47099,994233,989582,1020430,1057190
Champaign,ohio,39021,1025201,992346,1089925,1058604
Jasper,iowa,19099,988209,982323,976723,1058798
Gage,nebraska,31067,971938,955295,1038713,1059874
Logan,colorado,8075,1217271,1235667,1090097,1061679
Van Zandt,texas,48467,1008858,1016336,1036470,1063085
Wells,indiana,18179,980371,968933,1000237,1063282
Kossuth,iowa,19109,1083142,1037829,1078023,1066212
Smyth,virginia,51173,1096030,1059725,1038805,1066740
Scott,mississippi,28123,1000050,962643,1031807,1068770
Pike,mississippi,28113,1088024,1049404,1056865,1069594
Chippewa,michigan,26033,1019592,1033661,1050263,1074455
"Rockbridge, Buena Vista + Lexington",virginia,51165,1093080,1068921,1051920,1074560
Gray,texas,48179,1254277,1074164,1096956,1078311
Surry,virginia,51181,1010975,1107495,1120894,1079512
Hughes,south dakota,46065,1036205,1038066,1076652,1084280
Washington,nebraska,31177,1260512,1311075,1105701,1084508
Morrow,oregon,41049,1200779,1202369,1120213,1084849
Leflore,mississippi,28083,1073069,1064325,1083914,1085376
Grimes,texas,48185,1209368,1107248,1057200,1087331
Iowa,wisconsin,55049,1080713,1041617,1067625,1088546
Cherokee,oklahoma,40021,1116493,1101957,1083691,1089457
Suwannee,florida,12121,1144054,1039424,1060121,1090123
Washington,louisiana,22117,1116134,1122870,1084091,1090184
Pierce,wisconsin,55093,1104280,1043701,1019475,1092486
Wheeler,texas,48483,1600612,1298696,1253636,1094573
Isanti,minnesota,27059,1035051,1038315,1054112,1095281
Eastland,texas,48133,902658,840668,915169,1096053
Graham,arizona,4009,838174,971213,1024616,1097980
Mecklenburg,virginia,51117,1101204,1094281,1087081,1099718
Lamoille,vermont,50015,1053355,1057117,1060763,1100848
Clinton,indiana,18023,1035616,1005079,1029168,1100849
Levy,florida,12075,955314,1078963,1217429,1102272
Miller,arkansas,5091,1116700,1094405,1075969,1102278
Stevens,washington,53065,1042521,1046390,1066041,1110691
Logan,illinois,17107,943786,1106815,1055645,1110851
Houghton,michigan,26061,1058091,1072341,1085067,1111719
Weakley,tennessee,47183,1029677,1055415,1093648,1112897
Hardee,florida,12049,1070287,1213281,1178699,1113218
Spencer,indiana,18147,1174280,1173906,1183845,1114528
Stoddard,missouri,29207,1103531,1099907,1045795,1115134
Madison,idaho,16065,1059045,1066510,1089869,1115604
Harvey,kansas,20079,1119441,1125067,1086867,1116247
O'Brien,iowa,19141,936080,1148411,1164151,1116366
New Madrid,missouri,29143,1164788,1121748,1073642,1116867
Charlevoix,michigan,26029,1034295,1085000,1097980,1116998
Howell,missouri,29091,1135611,1063995,1076105,1121522
Webster,louisiana,22119,1123677,1098596,1076643,1123296
Henry,tennessee,47079,1095073,1130278,1143821,1124631
Lyon,iowa,19119,1017412,1213612,1260985,1126386
Poweshiek,iowa,19157,1107148,1088574,1093660,1129491
Preble,ohio,39135,991661,1060737,1066987,1130191
Carlton,minnesota,27017,1079905,1118083,1139922,1131080
Baxter,arkansas,5005,1101296,1094691,1102545,1131278
Heard,georgia,13149,1169222,1228666,1278253,1132700
Sanilac,michigan,26151,1077248,1084868,1125535,1134210
Henry,indiana,18065,1017298,1023042,1061134,1134531
Crane,texas,48103,1421391,1268805,1194628,1136787
Freeborn,minnesota,27047,1058404,1165428,1108282,1137572
Shawano,wisconsin,55115,1198245,1225289,1228265,1138025
Pender,north carolina,37141,1037407,1099411,1127053,1141947
Henry,ohio,39069,1050729,1100507,1084932,1142699
